USC00450587,"BELLINGHAM 3 SSW, WA US",2019-02-01,0.33,50,37,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-02-02,0.08,48,43,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-02-03,0.01,44,25,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-02-04,0.07,28,15,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-02-05,0,36,14,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-02-06,0,39,14,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-02-07,0,39,15,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-02-08,0.01,35,27,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-02-09,0,33,24,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-02-10,0,34,15,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-02-11,0.38,34,26,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-02-12,0.32,33,25,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-02-13,0.22,40,26,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-02-14,0,37,34,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-02-15,0.24,46,33,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-02-16,0.02,46,30,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-02-17,0.02,48,29,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-02-18,0,42,26,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-02-19,0.25,39,33,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-02-20,0.16,47,32,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-02-21,0,46,27,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-02-22,0.14,42,32,USC00450587
